"","LBX074LA_0","LBX074LA_1","LBX099LA_0","LBX099LA_1","LBX118LA_0","LBX118LA_1","LBX138LA_0","LBX138LA_1","LBX153LA_0","LBX153LA_1","LBX170LA_0","LBX170LA_1","LBX180LA_0","LBX180LA_1","LBX187LA_0","LBX187LA_1","LBX194LA_0","LBX194LA_1","LBXD03LA_0","LBXD03LA_1","LBXD05LA_0","LBXD05LA_1","LBXD07LA_0","LBXD07LA_1","LBXF03LA_0","LBXF03LA_1","LBXF04LA_0","LBXF04LA_1","LBXF05LA_0","LBXF05LA_1","LBXF08LA_0","LBXF08LA_1","LBXHXCLA_0","LBXHXCLA_1","LBXPCBLA_0","LBXPCBLA_1"
"11",0.0963568851975669,0.0340752220479308,0.0286127516414099,0.146295200472229,0.178629139115784,0.171482955930505,0.0125696457231203,0.0315741668209524,0.051366159250534,0.0000444429768377066,0.0266021049397619,0.0000344573249426693,0.0169384199968631,0.000129276419963948,0.00972305370904834,0.0741563805739142,0.0125131822752627,0.119589234800807,0.0571084295638674,0.041330994054004,0.0117507304416829,0.00532129536164887,0.0235341310441832,0.000297991825508609,0.0681666823670424,0.168479217004573,0.0345305605138178,0.10561804822425,0.0683276331898737,0.0000397119670880041,0.0259583758616804,0.0483387446193805,0.189115906967499,0.0158575590380583,0.0881962082010019,0.0373351005374058
"12",0.0668550564894611,0.184890698443609,0.106524729117938,0.260371385565851,0.0143608339351136,0.0515055183390938,0.00249887588294558,0.00125040105700843,0.0140861893419806,0.000830790599641661,0.0295916246187481,0.0000092011061652486,0.000110419294256603,0.00000956860519306546,0.0200709192779454,0.000118821789983033,0.0000664495565909059,0.111103011045303,0.038676516858729,0.00000611053503932214,0.000242916548730206,0.00265934109200228,0.0131243085534966,0.00000456094925428544,0.0891675372865902,0.261486438276718,0.0143645761379852,0.0395676333352593,0.00454637085613031,0.00000807983402921986,0.215248309925979,0.0309965319337452,0.275819393408187,0.0548237741473678,0.0946449729091922,0.000358133344736873
"13",0.027459565015987,0.0812701651705306,0.0923601229344781,0.0235498521734234,0.0401542913319033,0.314438625325228,0.0811667903941879,0.00701856003520612,0.0000542109230845578,0.0309789382581274,0.00053784566297787,0.000248193826899655,0.0000111655295058183,0.00363190008867934,0.0000144692958851514,0.0902649545692088,0.00000588135296997937,0.0975461983569963,0.00198938570407291,0.0673955553960146,0.0000100589994255208,0.00786698283298051,0.000024815133734136,0.000103519264335625,0.394397155251907,0.0498879603095231,0.000596940255673516,0.0141838943412194,0.0000180696958841764,0.008763722234236,0.14353590427934,0.0000263870657714266,0.213393891446268,0.0788907540048065,0.00426943679271542,0.123933836746813
"14",0.0420172758287742,0.0535442439841186,0.113544359179993,0.0359517059912511,0.0149755586997263,0.179071601958958,0.0437686064241254,0.00407570073457809,0.000397823287163181,0.0000241884578918733,0.00918379120834484,0.0000146823168839357,0.00720324401929741,0.0000454953887637797,0.00000844433708486859,0.00000970431628326497,0.0200706809516318,0.0000449525029367205,0.122147192675845,0.11281103469661,0.0133908040877269,0.0145607947311919,0.00583121336414455,0.00949510636785915,0.340866319528062,0.270633724029914,0.0102630876471159,0.250349863350113,0.0000144141749633792,0.030462348279378,0.0516709974508809,0.00682790224938486,0.184797196002657,0.0139179019928528,0.0198489911324634,0.0181590486510303
"15",0.00149284577607383,0.00000304850538423785,0.105193942155711,0.0577141074514071,0.0000109516171729805,0.0685898624511616,0.00115183320598984,0.00726657968906697,0.0850800401422214,0.00000183843844393856,0.074037306534734,0.00000532085286516959,0.00709076727415619,0.00000238981332095819,0.0517790142600701,0.00000318193387908752,0.00856847528902866,0.120549894919558,0.0179964289719021,0.00139799382047537,0.0938516401935213,0.00973915091899703,0.00976975005641326,0.000837811847801659,0.154991699912931,0.416285041311462,0.000534318612705485,0.229723019013632,0.000225824411875653,0.0278244859325909,0.0849708892612605,0.0188477669714178,0.189480293057698,0.0394059058973023,0.113773979266535,0.00180260023123327
"16",0.0000159075149694024,0.144573653259076,0.0144805664041621,0.122545709286434,0.00000803268555141639,0.0789079640941975,0.0716555404289966,0.00220460795932616,0.0000131915512812443,0.00940959024962075,0.00563464627430034,0.0000458142076219836,0.00000606326012086536,0.000069306551425143,0.00297812646900702,0.0289889287368075,0.0205357340005918,0.0908723940665766,0.125369390817646,0.0348559837345771,0.0000134036147739074,0.114418527476182,0.0121163180323688,0.0164290514069255,0.266313515712144,0.00151296930634981,0.0310309630894628,0.0625651123651392,0.0384583955179353,0.00000955502347581848,0.128188844339861,0.020902301719817,0.187243210588436,0.0332892758853467,0.0959381496983912,0.238399254671102
"17",0.00000677876942133191,0.120524507442949,0.115933290853411,0.0328209995679513,0.0000279531074680196,0.258424758679761,0.391177886590987,0.0115494282965672,0.0125385402400096,0.0427766526692446,0.0270323573112879,0.0000148040372344875,0.0085364471676628,0.0110014708170719,0.0795727329857468,0.0000125381892379569,0.00910305506659254,0.092194343178549,0.0252443461734593,0.00655989763614404,0.00000462283674929339,0.0223758700538543,0.000207739577244801,0.00000519721655314146,0.0981631887859894,0.224467009234572,0.00498309525272537,0.0576074054285183,0.0298435694924135,0.0138961614362919,0.0477656599059676,0.0335753451568319,0.0675423578659917,0.0586200127273074,0.0823163780168725,0.0135735982313603
"18",0.00439948829184892,0.0929954612913791,0.0818129241000317,0.0861446884479899,0.00342740084126256,0.147918453874097,0.11393595233683,0.00000985475419877262,0.0000126811684682044,0.0000100979296911771,0.00013547055278369,0.0000161862799067711,0.00000281163070873672,0.0000109683563985673,0.00000398238482514102,0.0094160886466313,0.0000032248945604545,0.0582559515145448,0.0167325421102617,0.23709774802622,0.0089576267261211,0.0958843427923836,0.00509684801555857,0.0000921706908786101,0.207270184655463,0.127696102464571,0.0227960705935016,0.0839479733626642,0.018948978404914,0.00237770587205061,0.135039845858312,0.0166940052194892,0.232043931451243,0.0000498745630213958,0.149380035983305,0.0413823259138855
"19",0.0091374800281619,0.000720445387726086,0.112122684620175,0.17123575812506,0.0109126859210518,0.119667399442007,0.0000904633305285982,0.000387773731550977,0.00615609772296989,0.00209054421215363,0.00668293923915757,0.000773434634182609,0.0191608125818011,0.011641111258837,0.0079181455586026,0.000834787768549882,0.0214706459317777,0.0248906960911576,0.0140434107292613,0.0456690079705309,0.0290020272584228,0.00080154587658483,0.0273033405558995,0.025057761084251,0.359138171977158,0.153207401465061,0.0085317563171034,0.0749061934955101,0.0000407876094450954,0.0667805546725018,0.0144893099469794,0.0616980946638805,0.092313867230261,0.0828236528869759,0.261485373441243,0.156813837233479
"20",0.00000112046356290745,0.0917284565608792,0.0316721077913885,0.0153401472602747,0.00000664072913512713,0.18584138038537,0.00208163412002072,0.00170928357968431,0.0021565356405097,0.0675093992549721,0.107331547288739,0.0000768528299284636,0.0000126972988133597,0.0000678728558038386,0.0399442856408044,0.000663926781134051,0.0891604522329826,0.0434565033674683,0.0183029412906357,0.0554349909484993,0.0290684767928265,0.0523748906453311,0.0373632900564872,0.00017905144939445,0.0764076061590767,0.0801759890725767,0.00185221997222548,0.203048058888813,0.110840545616724,0.0000173453463403327,0.0588295610494153,0.00501508348975471,0.277751619160298,0.0990551774878446,0.117216718696354,0.0983055897959307
